#       x-coordinate        y-coordinate
           -0.247381            0.225602
            -0.25128            0.224712
           -0.255178            0.223816
           -0.259075            0.222907
           -0.262969            0.221993
            -0.26686            0.221069
           -0.270749            0.220134
           -0.274638            0.219193
           -0.278523            0.218244
           -0.282406            0.217286
           -0.286289            0.216322
           -0.290167            0.215343
           -0.294044            0.214359
           -0.297917            0.213362
           -0.301788            0.212353
           -0.305658            0.211338
           -0.309523             0.21031
           -0.313386            0.209271
           -0.317246            0.208224
           -0.321103            0.207162
           -0.324958            0.206093
           -0.328809            0.205013
           -0.332657            0.203924
           -0.336505             0.20283
            -0.34035            0.201725
           -0.344194             0.20062
           -0.348038            0.199515
           -0.351879            0.198396
           -0.355717            0.197271
           -0.359551            0.196131
           -0.363386            0.194992
            -0.36722            0.193852
           -0.371054            0.192713
           -0.374887            0.191567
           -0.378716            0.190411
           -0.382541            0.189241
           -0.386365            0.188067
           -0.390189            0.186893
           -0.394009            0.185709
           -0.397827            0.184517
           -0.401641            0.183308
           -0.405451            0.182091
           -0.409259            0.180865
           -0.413066            0.179639
           -0.416871            0.178408
           -0.420673            0.177164
           -0.424471            0.175907
           -0.428265            0.174641
           -0.432054             0.17336
           -0.435836            0.172056
           -0.439613            0.170738
           -0.443383            0.169403
           -0.447147            0.168047
           -0.450903            0.166671
           -0.454632            0.165226
           -0.458344            0.163735
           -0.462038            0.162202
           -0.465695             0.16058
           -0.469307            0.158862
            -0.47288            0.157065
           -0.476408            0.155178
           -0.479833            0.153114
           -0.483185            0.150931
           -0.486433            0.148595
            -0.48954            0.146076
           -0.492497            0.143382
           -0.495204            0.140437
            -0.49761            0.137242
           -0.499656            0.133804
           -0.501137            0.130089
           -0.501789            0.126142
           -0.501145            0.122195
           -0.499189            0.118706
           -0.496176            0.116074
           -0.492581            0.114321
            -0.48873            0.113241
            -0.48478            0.112604
           -0.480795            0.112258
           -0.476799            0.112099
           -0.472799            0.112064
           -0.468799            0.112142
             -0.4648            0.112244
           -0.460802            0.112348
           -0.456803             0.11244
           -0.452803            0.112484
           -0.448803             0.11247
           -0.444804            0.112409
           -0.440805            0.112301
            -0.43681            0.112113
           -0.432818            0.111862
            -0.42883            0.111547
           -0.424848            0.111168
           -0.420876              0.1107
           -0.416912            0.110156
           -0.412961            0.109539
           -0.409022            0.108841
           -0.405099            0.108058
           -0.401198            0.107174
           -0.397321            0.106187
           -0.393469            0.105114
           -0.389642            0.103948
           -0.385844            0.102695
           -0.382072            0.101361
           -0.378329           0.0999513
           -0.374614           0.0984694
           -0.370918           0.0969385
           -0.367238           0.0953713
            -0.36357           0.0937757
           -0.359912           0.0921588
           -0.356259             0.09053
            -0.35261           0.0888899
           -0.348965           0.0872437
           -0.345319           0.0855984
           -0.341675           0.0839482
           -0.338032           0.0822946
           -0.334392           0.0806384
           -0.330753           0.0789765
           -0.327116            0.077312
           -0.323481           0.0756418
           -0.319851           0.0739624
           -0.316224           0.0722761
             -0.3126           0.0705824
           -0.308981           0.0688787
           -0.305365           0.0671675
           -0.301754           0.0654485
           -0.298146           0.0637207
           -0.294542           0.0619835
           -0.290944           0.0602375
            -0.28735           0.0584819
           -0.283763           0.0567124
           -0.280182           0.0549281
           -0.276613           0.0531247
           -0.273055           0.0512947
           -0.269512           0.0494396
           -0.265985           0.0475523
           -0.262478           0.0456291
           -0.258993           0.0436654
           -0.255533           0.0416585
           -0.252105           0.0395975
           -0.248715           0.0374738
            -0.24536           0.0352958
           -0.242043           0.0330595
           -0.238764           0.0307683
           -0.235521           0.0284272
           -0.232309           0.0260435
           -0.229123           0.0236256
           -0.225951            0.021188
           -0.222777           0.0187538
            -0.21959           0.0163376
           -0.216376           0.0139557
           -0.213127           0.0116214
           -0.209838          0.00934522
           -0.206502          0.00713828
            -0.20312          0.00500122
           -0.199705          0.00292081
            -0.19626         0.000887035
           -0.192793         -0.00110777
           -0.189308          -0.0030714
           -0.185812          -0.0050151
           -0.182309         -0.00694705
           -0.178804         -0.00887381
           -0.175298          -0.0107997
           -0.171796          -0.0127316
           -0.168297           -0.014671
           -0.164802           -0.016616
            -0.16131          -0.0185675
           -0.157823          -0.0205263
           -0.154335          -0.0224847
           -0.150846          -0.0244414
           -0.147356          -0.0263933
            -0.14386          -0.0283396
           -0.140362          -0.0302784
           -0.136859            -0.03221
           -0.133353          -0.0341359
           -0.129848          -0.0360627
           -0.126342          -0.0379886
            -0.12284          -0.0399205
           -0.119341          -0.0418585
           -0.115845          -0.0438031
           -0.112355          -0.0457567
           -0.108865          -0.0477125
           -0.105379          -0.0496744
            -0.10189          -0.0516311
          -0.0983995           -0.053583
          -0.0949044          -0.0555293
          -0.0914057          -0.0574673
           -0.087903          -0.0593984
          -0.0843992          -0.0613277
          -0.0808931           -0.063255
          -0.0773904          -0.0651861
          -0.0738907          -0.0671224
          -0.0703951          -0.0690678
          -0.0669078          -0.0710257
          -0.0634257          -0.0729946
          -0.0599481          -0.0749712
          -0.0564775          -0.0769599
          -0.0530109          -0.0789556
          -0.0495453           -0.080953
          -0.0460812           -0.082953
          -0.0426191          -0.0849565
           -0.039159          -0.0869634
          -0.0357019          -0.0889755
          -0.0322448          -0.0909876
          -0.0287917          -0.0930067
          -0.0253431          -0.0950335
          -0.0218975          -0.0970656
          -0.0184573          -0.0991049
          -0.0150217           -0.101154
          -0.0115924           -0.103213
         -0.00816732            -0.10528
         -0.00474608           -0.107352
         -0.00132735           -0.109429
          0.00209189           -0.111505
          0.00551362           -0.113576
          0.00893736           -0.115644
           0.0123665           -0.117705
           0.0157992           -0.119757
           0.0192343           -0.121807
            0.022669           -0.123856
           0.0261031           -0.125908
           0.0295339           -0.127964
           0.0329615           -0.130027
           0.0363857           -0.132094
           0.0398064           -0.134167
           0.0432277           -0.136239
           0.0466499            -0.13831
           0.0500746           -0.140376
           0.0535043           -0.142436
           0.0569385           -0.144486
           0.0603776           -0.146529
           0.0638217           -0.148564
           0.0672668           -0.150597
           0.0707124           -0.152629
           0.0741561           -0.154662
           0.0775972           -0.156702
           0.0810358           -0.158746
           0.0844716           -0.160793
           0.0879052           -0.162846
           0.0913418           -0.164893
           0.0947835            -0.16693
           0.0982371           -0.168948
            0.101705           -0.170941
            0.105193             -0.1729
            0.108706           -0.174814
            0.112247           -0.176675
            0.115823           -0.178465
            0.119429           -0.180196
            0.123065           -0.181863
            0.126727           -0.183474
            0.130408           -0.185039
            0.134104           -0.186566
            0.137807           -0.188081
            0.141505           -0.189607
            0.145187           -0.191169
            0.148846           -0.192784
            0.152476           -0.194466
             0.15607           -0.196222
            0.159625           -0.198053
            0.163141           -0.199961
            0.166618           -0.201939
            0.170065           -0.203969
            0.173487            -0.20604
            0.176888           -0.208145
             0.18027            -0.21028
            0.183638            -0.21244
             0.18699           -0.214621
            0.190329           -0.216824
            0.193659           -0.219041
            0.196977           -0.221274
            0.200287           -0.223521
            0.203588            -0.22578
            0.206881           -0.228049
             0.21017           -0.230326
             0.21345           -0.232616
            0.216725           -0.234913
            0.219995           -0.237216
            0.223261           -0.239527
            0.226521           -0.241844
            0.229779           -0.244165
            0.233031           -0.246493
            0.236281           -0.248825
             0.23953           -0.251159
            0.242777           -0.253494
            0.246023           -0.255832
            0.249267           -0.258172
            0.252511           -0.260512
             0.25575            -0.26286
            0.258982           -0.265215
             0.26221            -0.26758
